Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,1,1,1,1,0,252.981507763507,0.0233327202605832,0.50964236378909,16.78
FBL-QP,2,1,1,1,1,1024.65483096671,0.0548634556955311,0.603659221452211,19.3933333333333
FBL-QP,3,1,1,1,1,797.362056486917,0.00541655463653706,0.563213363705931,16.7066666666667
FBL-QP,4,1,1,1,1,1254.85020018911,0.00859798549454322,0.608348019378241,18.88
FBL-QP,5,1,1,1,0,1076.24503583776,0.0229625885723337,0.549793515482508,18.32
FBL-QP,6,1,1,1,1,114.010195025729,0.0368442284552581,0.525865496672187,16.5
FBL-QP,7,1,1,1,1,3722.74764216591,0.0318504864846403,0.582700356590446,24.68
FBL-QP,8,1,1,1,1,1458.01485403687,0.0945464463658805,0.35468535041955,48.1
FBL-QP,9,1,1,1,1,4446.21439756906,0.0906308922538069,0.274908154555471,139.646666666667
FBL-QP,10,0,1,1,0,76443.329972665,0.0380570498644281,0.515519934290562,203.713333333333
FBL-QP,11,1,1,1,1,1276.48229510526,0.0810228142415279,0.611985198998601,18.44
FBL-QP,12,1,1,1,1,980.218837026582,0.0590178093182305,0.552018135696905,18.8
FBL-QP,13,1,1,1,1,1240.4096911371,0.0724081225863757,0.659132299738174,20.16
FBL-QP,14,1,1,1,1,113.934913155046,0.0307420556163361,0.45761096082495,15.6
FBL-QP,15,1,0,1,1,5737.34919225089,0.218177364411371,0.212438953289006,538.193333333333
FBL-QP,16,1,1,1,1,934.236027600626,0.0412696598131593,0.550520704206101,16.52
FBL-QP,17,1,1,1,1,2021.16624557686,0.093148062386731,0.295551085367809,99.6466666666667
FBL-QP,18,1,1,1,1,8995.46507233055,0.0906698594843045,0.226439775834002,258.846666666667
FBL-QP,19,1,1,1,1,736.5032217693,0.0332053813986324,0.579641725601113,18.2866666666667
FBL-QP,20,1,1,1,1,958.798381837275,0.0448910980094108,0.588146497319302,17.6
FBL-QP,21,1,1,1,1,1225.58806791702,0.0782903904059929,0.58418705494521,17.14
FBL-QP,22,1,1,1,1,800.826794376128,0.05110199765437,0.519261774781148,18.78
FBL-QP,23,1,1,1,1,791.540542448253,0.0606162342619345,0.528471904560977,16.4466666666667
FBL-QP,24,1,1,1,1,2225.53599162693,0.0270547893571775,0.545186406451159,19.58
FBL-QP,25,1,1,1,1,615.998393224941,0.0266560729501561,0.495343405174492,17.18
FBL-QP,26,1,1,1,1,1158.37410573638,0.0172425114672883,0.58876951632347,19.08
FBL-QP,27,1,1,1,0,1235.18396439227,0.0443393787456987,0.508668248874672,21.9333333333333
FBL-QP,28,1,1,1,1,1247.88729215651,0.0701544601584633,0.610276071289125,18.2866666666667
FBL-QP,29,1,1,1,1,878.146982042726,0.0406399749159216,0.531372814326516,16.3666666666667
FBL-QP,30,1,1,1,1,2023.56568198215,0.0908803135423486,0.263388172357165,94.98
FBL-QP,31,1,1,1,1,1011.03115445034,0.0772821378330096,0.524768992404962,16.5533333333333
FBL-QP,32,1,1,1,1,943.245453275312,0.040946880671197,0.527169624854864,15.6666666666667
FBL-QP,33,1,1,1,1,243.802659870459,0.0630818118828315,0.521250605885082,18.4333333333333
FBL-QP,34,1,1,1,1,878.231965624521,0.0288424894430661,0.511163917979268,16.6866666666667
FBL-QP,35,1,1,1,1,65036.3339555427,0.0919791386111102,0.438500338323593,255.726666666667
FBL-QP,36,1,1,1,1,966.612441509631,0.00597859393197094,0.634149568789433,18.6866666666667
FBL-QP,37,1,1,1,1,11363.7269404304,0.0990817584722378,0.231644490249909,281.966666666667
FBL-QP,38,1,1,1,1,152.826710574887,0.0295323839953006,0.492569082618228,17.0333333333333
FBL-QP,39,1,1,1,1,976.07076652217,0.0614943663326859,0.470583549304576,17.48
FBL-QP,40,1,1,1,1,2526.04962228675,0.0935382916607835,0.242474055506463,122.206666666667
FBL-QP,41,1,1,1,1,926.277295308638,0.0312130669169534,0.523132295880922,16.0666666666667
FBL-QP,42,1,1,1,1,1090.48867775408,0.093208520379513,0.538558878350461,19.7266666666667
FBL-QP,43,1,1,1,1,618.889856837662,0.0490592422646853,0.474712145013591,16.2066666666667
FBL-QP,44,1,1,1,1,2058.22932157452,0.0551091387737795,0.3332387147445,64.4333333333333
FBL-QP,45,1,1,1,1,577.335044937204,0.0729987621792853,0.525753881815328,19.8533333333333
FBL-QP,46,1,1,1,1,1172.40850243609,0.097702757276138,0.440252514191833,28.4466666666667
FBL-QP,47,1,1,1,1,990.494603068644,0.0110073103770232,0.643122675524033,16.9533333333333
FBL-QP,48,1,1,1,1,82.8437649658065,0.0322158690242821,0.434804003023671,16.32
FBL-QP,49,1,1,1,1,275.366446958585,0.0494774357838239,0.655651032039333,18.7533333333333
