Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,1,1,1,1,1,1,225.424921756585,0.0277004322558252,0.341104052364609,39.24
FBL-QP,2,1,1,1,1,1,554.340017587676,0.0364317660192656,0.426143161061417,50.1
FBL-QP,3,1,1,1,1,1,892.078604898812,0.0263538488524969,0.436439207941597,42.18
FBL-QP,4,1,1,1,1,1,201.010351965641,0.0280696382413024,0.396969976879138,41.56
FBL-QP,5,1,1,1,1,1,586.721066500549,0.0226393848551379,0.449532910279942,41.14
FBL-QP,6,1,1,1,1,1,71290.8504749962,0.0727326889177309,0.409355528952668,359.04
FBL-QP,7,1,1,1,1,1,779.126449256015,0.0346409286873942,0.445522339563895,43.52
FBL-QP,8,1,1,1,1,1,405.327292620273,0.0286074794622426,0.421498096743908,41.78
FBL-QP,9,1,1,1,1,1,541.435201856126,0.0282277560785199,0.410218033953822,40.64
FBL-QP,10,1,1,1,1,1,416.337745321648,0.0244842707323733,0.414938475689166,44.86
FBL-QP,11,1,1,1,1,1,249.021799754051,0.0286344878297523,0.434133558564609,44
FBL-QP,12,1,1,1,1,1,471.289194322832,0.0255349321994321,0.414008346237791,44.74
FBL-QP,13,1,1,1,1,1,205.63911654857,0.0294090222479147,0.367280082286908,41
FBL-QP,14,1,1,1,1,1,176.434639353182,0.0269382727801867,0.3935846172651,41.86
FBL-QP,15,1,1,1,1,1,317.674523977912,0.0266958005766228,0.358096883644101,39.9
FBL-QP,16,1,1,1,1,1,338.412131157168,0.0416511738736998,0.40606868732468,42.5
FBL-QP,17,1,1,1,1,1,676.418428372111,0.0288426530054121,0.339970646420595,41.2
FBL-QP,18,1,1,1,1,1,602.785246223044,0.0284810083762487,0.422481550239877,41.44
FBL-QP,19,1,1,1,1,1,481.974756067547,0.0274305580019886,0.369772484120265,44.76
FBL-QP,20,1,1,1,1,1,461.51836176729,0.0480156456040769,0.333231492005592,48.38
FBL-QP,21,1,1,1,1,1,793.270551153728,0.0576445497306955,0.444880476736834,54.86
FBL-QP,22,1,1,1,1,1,582.443336315634,0.0452584070834192,0.480924522202795,43.1
FBL-QP,23,1,1,1,1,1,248.031050532117,0.0890048771643079,0.391487825309452,39.78
FBL-QP,24,1,1,1,1,1,467.029903751099,0.0528332267537049,0.351980635613133,49.08
FBL-QP,25,1,1,1,1,1,328.377061724232,0.0366554793825911,0.439116984538138,40.8
FBL-QP,26,1,1,1,1,1,1818.86855902606,0.0761273607693656,0.298158763409638,103.34
FBL-QP,27,1,1,1,1,1,161.63236671796,0.0271259991137686,0.331355658633177,38.84
FBL-QP,28,1,1,1,1,1,227.676439495619,0.0215531226653142,0.300136161148236,38.54
FBL-QP,29,1,1,1,1,1,790.682495110205,0.0309692936374939,0.443891854313625,46.46
FBL-QP,30,1,1,1,1,1,2803.06918909235,0.0194278877663897,0.478772499983719,52.42
FBL-QP,31,1,1,1,1,1,324.153397389753,0.0245012592961125,0.392485639094678,41.66
FBL-QP,32,1,1,1,1,1,300.946894906907,0.0243724461519997,0.321205477604742,38.9
FBL-QP,33,1,1,1,1,1,418.779088231916,0.0249869391239089,0.446543527175921,42
FBL-QP,34,1,1,1,1,1,276.469546504139,0.0330898058239605,0.405232971238036,43.56
FBL-QP,35,1,1,1,1,1,298.098972680039,0.030118841027691,0.323750267726265,38.94
FBL-QP,36,1,1,1,1,1,1657.25713067714,0.065898025585649,0.271455570333057,114.86
FBL-QP,37,1,1,1,1,1,371.505015318569,0.0401010382287117,0.378233474138232,40.96
FBL-QP,38,1,1,1,1,1,342.428468558612,0.029636686016385,0.404660188754794,47.18
FBL-QP,39,1,1,1,1,1,219.065547639142,0.0277579629159987,0.363616421305774,40.56
FBL-QP,40,1,1,1,1,1,321.008596544781,0.0269498256663523,0.382155521572756,40.26
FBL-QP,41,1,1,1,1,1,387.15899698598,0.0280978256161316,0.372579502081998,40.56
FBL-QP,42,1,1,1,1,1,223.843582137062,0.0311029772541206,0.363803568934861,40.4
FBL-QP,43,1,1,1,1,1,407.575553175291,0.0492167095940595,0.411722166738956,44.44
FBL-QP,44,1,1,1,1,1,159.582734982813,0.0304882249170045,0.429192455263856,44.1
FBL-QP,45,1,1,1,1,1,1076.54140878843,0.0808398216829815,0.479764120671183,44.42
FBL-QP,46,1,1,1,1,1,752.658154207768,0.029720781390176,0.450892181155895,43.22
FBL-QP,47,1,1,1,1,1,300.040263921881,0.0344703335640405,0.400254282844491,42.2
