Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL,1,100,1,1,0,1,1,103.062396859528,0.00990032868769425,0.363375651525973,39.3
FBL,2,100,1,1,0,1,0,671.106450787198,0.0111367694399553,0.362103058234808,38.94
FBL,3,100,1,1,0,0,0,658.654577574674,0.0110278558731007,0.356590863324109,41.28
FBL,4,100,1,1,0,1,0,190.415283779372,0.00999739187443703,0.362042529507111,39.12
FBL,5,100,1,1,0,0,0,220.173945220904,0.0103181476836089,0.363689233981208,39.6
FBL,1,10,1,1,0,1,0,1333189.20476345,0.0637628609503434,0.3118971379951,92.5
FBL,2,10,1,1,0,0,0,101.039118565093,0.0244572045909125,0.317801064568884,38.92
FBL,3,10,1,1,0,0,0,6977.13290006185,0.0231546251694854,0.387726555822176,40.96
FBL,4,10,1,1,0,0,0,251.443884530244,0.02574576519033,0.335652409553221,39.32
FBL,5,10,1,1,0,0,0,379.85359265757,0.0263268405273923,0.346795003129775,39.5
FBL,1,11,1,1,0,1,0,93.1744666362031,0.0265314615455407,0.304654426363818,37.92
FBL,2,11,1,1,0,1,0,93.9885416345075,0.0271647922429706,0.304887008163047,37.92
FBL,3,11,1,1,0,1,0,89.6400699611156,0.0267039130038035,0.306562110521807,37.9
FBL,4,11,1,1,0,1,0,90.3190324385593,0.0272838079685538,0.30658050203347,37.9
FBL,5,11,1,1,0,1,0,98.7077522023109,0.0260926368786148,0.304594152826025,37.9
FBL,1,12,1,1,0,1,1,54.9245805275077,0.0284118421505386,0.376543215186072,38.76
FBL,2,12,1,1,0,1,1,53.2005954333153,0.0263141176343695,0.37638690539721,38.76
FBL,3,12,1,1,0,1,0,56.0548291923835,0.0278918255660118,0.373555258073951,38.7
FBL,4,12,1,1,0,1,0,53.0985147688202,0.0268125085946075,0.376341792177007,38.74
FBL,5,12,1,1,0,1,0,54.7649067290617,0.0272110164067908,0.375071048322841,38.74
FBL,1,13,1,1,0,1,0,144.650129374253,0.0307139965614388,0.350293285878328,37.98
FBL,2,13,1,1,0,1,0,177.949870299093,0.031643741370051,0.349980931814723,38.04
FBL,3,13,1,1,0,1,0,159.281040313454,0.0304469487545375,0.349862519473601,38.04
FBL,4,13,1,1,0,1,0,171.537448150393,0.0304621474254008,0.349778209022749,37.98
FBL,5,13,1,1,0,1,0,167.679351834549,0.0309012947087759,0.349708469452773,38
FBL,1,14,NaN,NaN,NaN,NaN,NaN,15126.4623553489,0.25115610006446,0.268849315215009,607.94
FBL,2,14,NaN,NaN,NaN,NaN,NaN,11430.0691992369,0.214666041868266,0.249979429325643,608.16
FBL,3,14,NaN,NaN,NaN,NaN,NaN,1161613.27230183,0.282820677560568,0.575101973016415,607.98
FBL,4,14,NaN,NaN,NaN,NaN,NaN,12391.342985582,0.220617404439095,0.256763509336469,608.34
FBL,5,14,NaN,NaN,NaN,NaN,NaN,24536.2596459478,0.291444396440287,0.308736702250791,608.06
FBL,1,15,1,1,0,0,0,3471.65798307637,0.0306668535604556,0.300566172311231,49.56
FBL,2,15,1,1,0,0,0,3269.74591779624,0.0241663456151004,0.328501422520573,38.6
FBL,3,15,1,1,0,0,0,3578.21964478926,0.0292565752519488,0.304757734327873,46.08
FBL,4,15,1,1,0,0,0,3472.17869608849,0.0117877212377843,0.324922691779635,37.38
FBL,5,15,1,1,0,0,0,230864.622257649,0.0505062667733269,0.668388773552231,155.54
FBL,1,16,1,1,0,1,1,134.05427455518,0.0410421389290541,0.41586223668975,39.96
FBL,2,16,1,1,0,1,1,128.102341671963,0.0399215312487921,0.415970114630013,39.9
