Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,1,100,1,1,1,1,1,234.098555623752,0.0346201886136357,0.625203967345516,17.16
FBL-QP,2,100,1,1,1,1,1,227.497848370167,0.0346182219220074,0.625059598281621,17.16
FBL-QP,3,100,1,1,1,1,1,225.017861868393,0.0345660519226127,0.625501882534837,17.18
FBL-QP,4,100,1,1,1,1,1,209.540665971741,0.0347344669395376,0.623996420382116,17.16
FBL-QP,5,100,1,1,1,1,1,211.518018633576,0.0366530822327063,0.624686148997525,17.22
FBL-QP,1,10,1,1,1,1,1,177.689206839933,0.0372160066375546,0.688748615410861,20.02
FBL-QP,2,10,1,1,1,1,1,539.824415344376,0.0381754369698283,0.694475346898066,20
FBL-QP,3,10,1,1,1,1,1,246.199943224342,0.0443590759089355,0.688224368227235,19.96
FBL-QP,4,10,1,1,1,1,1,381.744080919878,0.037938944562354,0.692742803421691,20.12
FBL-QP,5,10,1,1,1,1,1,174.986570976748,0.036542615317413,0.688949247629176,20.02
FBL-QP,1,11,1,1,1,1,1,501.932418610381,0.038371940816157,0.756090373233984,18.6
FBL-QP,2,11,1,1,1,1,1,712.145494831194,0.060499575091901,0.751818018445201,18.82
FBL-QP,3,11,1,1,1,1,1,560.27757156561,0.0473921671303682,0.748577390901926,18.62
FBL-QP,4,11,1,1,1,1,1,564.210587010728,0.0477029983631737,0.747884217815124,18.64
FBL-QP,5,11,1,1,1,1,1,639.651426230378,0.0465583267205925,0.74989155529436,18.64
FBL-QP,1,12,1,1,1,1,1,246.081154209527,0.0365159382049135,0.607950770028532,17.58
FBL-QP,2,12,1,1,1,1,1,246.957320367076,0.0367795133136306,0.607302190545302,17.58
FBL-QP,3,12,1,1,1,1,1,225.622086424456,0.0377601579825588,0.60578779058929,17.62
FBL-QP,4,12,1,1,1,1,1,227.594045222472,0.037817797703377,0.605710208941956,17.52
FBL-QP,5,12,1,1,1,1,1,368.348703508215,0.0367110515225819,0.612351122350652,17.74
FBL-QP,1,13,1,1,1,1,1,531.145773482608,0.0777385709728325,0.670571373708391,19.16
FBL-QP,2,13,1,1,1,1,1,359.07666541336,0.0819707193747084,0.667020898117482,19.12
FBL-QP,3,13,1,1,1,1,1,332.652747161157,0.0876389353115134,0.662886828296014,19.16
FBL-QP,4,13,1,1,1,1,1,773.287665262441,0.0869295804018828,0.667992033558657,19.24
FBL-QP,5,13,1,1,1,1,1,543.292198119899,0.084213854754993,0.673153688804211,19.26
FBL-QP,1,14,1,1,1,1,1,738.854041684526,0.0231393993375608,0.757056503794755,20.32
FBL-QP,2,14,1,1,1,1,1,986.454651520694,0.0237381565213234,0.76370285736139,20.26
FBL-QP,3,14,1,1,1,1,1,857.579838828841,0.0238440647430638,0.763913486945683,20.42
FBL-QP,4,14,1,1,1,1,1,837.51120390028,0.0228708041124189,0.763467430370709,20.48
FBL-QP,5,14,1,1,1,1,1,825.672307334614,0.0232274265575716,0.759204091191056,20.42
FBL-QP,1,15,1,1,1,1,1,964.199632922974,0.0341260575868969,0.684672438745709,19
FBL-QP,2,15,1,1,1,1,1,764.664611207596,0.0345044562160607,0.671087809506107,18.8
FBL-QP,3,15,1,1,1,1,1,386.18977133316,0.0334213135259649,0.66359374222302,18.58
FBL-QP,4,15,1,1,1,1,1,385.965944721171,0.0334710643955974,0.663236615826203,18.58
FBL-QP,5,15,1,1,1,1,1,690.521784446811,0.036297701032765,0.669896004740348,18.76
FBL-QP,1,16,1,1,1,1,1,1823.28958540514,0.0963554392543138,0.363677888839119,86.56
FBL-QP,2,16,1,1,1,1,1,2699.47888234338,0.0949199003915468,0.337120993813305,106.8
FBL-QP,3,16,1,1,1,1,1,1665.94654541366,0.096538984950413,0.369896999366999,83.98
FBL-QP,4,16,1,1,1,1,1,2731.61534671745,0.0949374759958909,0.340061411985608,105.38
FBL-QP,5,16,1,1,1,1,1,2536.0265173943,0.0953253875363056,0.34255562975285,102.88
FBL-QP,1,17,1,1,1,1,1,2053.46386491784,0.0942792297975099,0.374890734822662,90.66
FBL-QP,2,17,1,1,1,1,1,1411.62235052051,0.0944675200886523,0.405066054601549,73.48
FBL-QP,3,17,1,1,1,1,1,1370.28590752321,0.0945082387607611,0.403669313083126,73.54
FBL-QP,4,17,1,1,1,1,1,1410.35840073202,0.0944995757854808,0.401052084138605,75.42
FBL-QP,5,17,1,1,1,1,1,1772.69196210649,0.0944322161607707,0.388328814684419,81.74
FBL-QP,1,18,1,1,1,1,1,837.512262502271,0.049070925902484,0.723872246938237,19.8
FBL-QP,2,18,1,1,1,1,1,671.004311949131,0.0464305946437234,0.715518330061181,19.54
FBL-QP,3,18,1,1,1,1,1,454.131077120321,0.0471099738763021,0.710433691203688,19.5
FBL-QP,4,18,1,1,1,1,1,700.077384684899,0.0488097571250618,0.717676307078129,19.66
FBL-QP,5,18,1,1,1,1,1,837.815011466885,0.0497764492601032,0.722499586798057,19.72
FBL-QP,1,19,1,1,1,1,1,220.231219190925,0.0469520614341329,0.508000865560852,13.82
FBL-QP,2,19,1,1,1,1,1,257.687632560161,0.0440822660815307,0.517007092794419,13.94
FBL-QP,3,19,1,1,1,1,1,273.272738818513,0.0436725823958643,0.517695257631003,13.94
FBL-QP,4,19,1,1,1,1,1,241.269860029439,0.044432380799238,0.517041175112506,13.9
FBL-QP,5,19,1,1,1,1,1,201.473339109127,0.045330641401926,0.509810449365532,13.8
FBL-QP,1,1,1,1,1,1,1,776.639112002716,0.0958379493693609,0.517285152596776,36.3
FBL-QP,2,1,1,1,1,1,1,828.031066172041,0.0946854266427442,0.471277645107786,45.4
FBL-QP,3,1,1,1,1,1,1,833.481890556742,0.0950107976406466,0.490515598706226,40.42
FBL-QP,4,1,1,1,1,1,1,895.571704894664,0.0953108500438465,0.501692816987048,39.08
FBL-QP,5,1,1,1,1,1,1,1094.28592898249,0.0949857924845142,0.4679971540372,46.02
FBL-QP,1,20,1,1,1,1,1,643.58003694994,0.0277936253301902,0.685932386249507,16.62
FBL-QP,2,20,1,1,1,1,1,554.189566131986,0.0287128123456554,0.682426534747052,16.64
FBL-QP,3,20,1,1,1,1,1,626.264486618275,0.028297755111649,0.683194439581942,16.62
FBL-QP,4,20,1,1,1,1,1,628.235805668152,0.0282347652566472,0.68260600296116,16.62
FBL-QP,5,20,1,1,1,1,1,597.626508100221,0.0289799329543704,0.682257920143729,16.64
FBL-QP,1,21,1,1,1,1,1,308.598675726315,0.030763065843989,0.734659997722816,19.46
FBL-QP,2,21,1,1,1,1,1,803.401900806413,0.0475122412002205,0.739707807862954,19.78
FBL-QP,3,21,1,1,1,1,1,641.727697652787,0.0349895428424705,0.741614076915248,19.66
FBL-QP,4,21,1,1,1,1,1,707.249593991341,0.038647611833384,0.742532259645349,19.72
