Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime,SceneLogError,ScenePositionError_1,ScenePositionError_2,ScenePositionError_3,SceneRotationError_1,SceneRotationError_2,SceneRotationError_3
FBL-QP,1,100,1,1,1,1,1,234.098555623752,0.0346201886136357,0.625203967345516,17.16,1.2528957746625,0.776358527862926,-1.73555343074343,0.1742220597177,0.689969442472715,0.0503404196698481,0.217809966088987
FBL-QP,2,100,1,1,1,1,1,227.497848370167,0.0346182219220074,0.625059598281621,17.16,1.25289417196948,0.776355172668144,-1.73554994710663,0.174229574153889,0.689969288415017,0.05034037115984,0.217809977712952
FBL-QP,3,100,1,1,1,1,1,225.017861868393,0.0345660519226127,0.625501882534837,17.18,1.2528952404016,0.776357409481387,-1.73555226956693,0.174224564532742,0.689969391071211,0.0503404034813281,0.21780996996923
FBL-QP,4,100,1,1,1,1,1,209.540665971741,0.0347344669395376,0.623996420382116,17.16,1.2528957746625,0.776358527862926,-1.73555343074343,0.1742220597177,0.689969442472715,0.0503404196698481,0.217809966088987
FBL-QP,5,100,1,1,1,1,1,211.518018633576,0.0366530822327063,0.624686148997525,17.22,1.2528957746625,0.776358527862926,-1.73555343074343,0.1742220597177,0.689969442472715,0.0503404196698481,0.217809966088987
FBL-QP,1,10,1,1,1,1,1,177.689206839933,0.0372160066375546,0.688748615410861,20.02,1.33075928681231,0.846226219573976,-1.90980219890901,0.0188230607961205,0.701800374320236,0.0612553498511329,0.207096995854289
FBL-QP,2,10,1,1,1,1,1,539.824415344376,0.0381754369698283,0.694475346898066,20,1.33075928681231,0.846226219573976,-1.90980219890901,0.0188230607961205,0.701800374320236,0.0612553498511329,0.207096995854289
FBL-QP,3,10,1,1,1,1,1,246.199943224342,0.0443590759089355,0.688224368227235,19.96,1.33076167765332,0.846230326977986,-1.9098065409723,0.0188127664150527,0.701800621869645,0.0612554278463373,0.207096974515362
FBL-QP,4,10,1,1,1,1,1,381.744080919878,0.037938944562354,0.692742803421691,20.12,1.33075868926705,0.846225192628188,-1.90980111313646,0.0188256343562036,0.701800312738678,0.0612553304491587,0.207097001168185
FBL-QP,5,10,1,1,1,1,1,174.986570976748,0.036542615317413,0.688949247629176,20.02,1.33076048210755,0.846228273348055,-1.90980437013779,0.0188179136318643,0.701800497864563,0.0612553887699885,0.20709698519358
FBL-QP,1,11,1,1,1,1,1,501.932418610381,0.038371940816157,0.756090373233984,18.6,1.43384718056534,1.15226918893129,-1.70566033456449,-1.24858350055232,0.658681321237291,0.0581904217739725,0.237508132054633
FBL-QP,2,11,1,1,1,1,1,712.145494831194,0.060499575091901,0.751818018445201,18.82,1.4338448022174,1.15226671256595,-1.70565769918446,-1.24857876106111,0.658681229982702,0.0581903912882975,0.237508139553855
FBL-QP,3,11,1,1,1,1,1,560.27757156561,0.0473921671303682,0.748577390901926,18.62,1.4338448022174,1.15226671256595,-1.70565769918446,-1.24857876106111,0.658681229982702,0.0581903912882975,0.237508139553855
FBL-QP,4,11,1,1,1,1,1,564.210587010728,0.0477029983631737,0.747884217815124,18.64,1.43384599137471,1.15226795075973,-1.70565901689995,-1.24858113080119,0.658681275575208,0.0581904065186696,0.237508135806995
FBL-QP,5,11,1,1,1,1,1,639.651426230378,0.0465583267205925,0.74989155529436,18.64,1.43384718056534,1.15226918893129,-1.70566033456449,-1.24858350055232,0.658681321237291,0.0581904217739725,0.237508132054633
FBL-QP,1,12,1,1,1,1,1,246.081154209527,0.0365159382049135,0.607950770028532,17.58,1.15439004520884,0.0237151433281009,-0.888063374884076,1.42895546001831,0.677692362617813,0.0511823545565573,0.207795808102838
FBL-QP,2,12,1,1,1,1,1,246.957320367076,0.0367795133136306,0.607302190545302,17.58,1.15438892241964,0.0237173659625235,-0.888066150376232,1.42895059856114,0.677692185934701,0.0511823065600207,0.207795821401216
FBL-QP,3,12,1,1,1,1,1,225.622086424456,0.0377601579825588,0.60578779058929,17.62,1.15439004520884,0.0237151433281009,-0.888063374884076,1.42895546001831,0.677692362617813,0.0511823545565573,0.207795808102838
FBL-QP,4,12,1,1,1,1,1,227.594045222472,0.037817797703377,0.605710208941956,17.52,1.15439060633555,0.0237140321358099,-0.888061987495793,1.42895789085402,0.677692450559282,0.0511823784202637,0.207795801480749
FBL-QP,5,12,1,1,1,1,1,368.348703508215,0.0367110515225819,0.612351122350652,17.74,1.15439004520884,0.0237151433281009,-0.888063374884076,1.42895546001831,0.677692362617813,0.0511823545565573,0.207795808102838
FBL-QP,1,13,1,1,1,1,1,531.145773482608,0.0777385709728325,0.670571373708391,19.16,1.330538703416,0.994805628323086,-1.82666072191305,-0.0672675570348651,0.691251789508877,0.0302690697937361,0.255008016788627
FBL-QP,2,13,1,1,1,1,1,359.07666541336,0.0819707193747084,0.667020898117482,19.12,1.33054007285725,0.99480831036304,-1.82666280995266,-0.0672724490033993,0.691251893220028,0.0302691086572445,0.255008011957313
FBL-QP,3,13,1,1,1,1,1,332.652747161157,0.0876389353115134,0.662886828296014,19.16,1.330538703416,0.994805628323086,-1.82666072191305,-0.0672675570348651,0.691251789508877,0.0302690697937361,0.255008016788627
FBL-QP,4,13,1,1,1,1,1,773.287665262441,0.0869295804018828,0.667992033558657,19.24,1.33053938811851,0.994806969353125,-1.82666176595861,-0.067270003016403,0.691251841331816,0.0302690892145235,0.255008014374557
FBL-QP,5,13,1,1,1,1,1,543.292198119899,0.084213854754993,0.673153688804211,19.26,1.33053801875355,0.994804287270862,-1.82665967780884,-0.0672651110602608,0.691251737757561,0.0302690504000851,0.255008019202571
FBL-QP,1,14,1,1,1,1,1,738.854041684526,0.0231393993375608,0.757056503794755,20.32,1.37145554353276,1.14677859262823,-1.7651879318563,-0.715622108878212,0.674976862574005,0.0551320179763895,0.243217536068191
FBL-QP,2,14,1,1,1,1,1,986.454651520694,0.0237381565213234,0.76370285736139,20.26,1.37145554353276,1.14677859262823,-1.7651879318563,-0.715622108878212,0.674976862574005,0.0551320179763895,0.243217536068191
FBL-QP,3,14,1,1,1,1,1,857.579838828841,0.0238440647430638,0.763913486945683,20.42,1.37145154831921,1.1467735721367,-1.76518318481503,-0.715612395950557,0.674976671335269,0.055131951021247,0.243217551545989
FBL-QP,4,14,1,1,1,1,1,837.51120390028,0.0228708041124189,0.763467430370709,20.48,1.37145454467606,1.14677733754379,-1.76518674517639,-0.71561968063107,0.674976814658349,0.0551320011933098,0.243217539947478
FBL-QP,5,14,1,1,1,1,1,825.672307334614,0.0232274265575716,0.759204091191056,20.42,1.37145054960358,1.14677231694962,-1.76518199792115,-0.715609967744014,0.674976623703123,0.0551319343506819,0.24321755539347
FBL-QP,1,15,1,1,1,1,1,964.199632922974,0.0341260575868969,0.684672438745709,19,1.2933112819682,0.907971244107277,-1.83018904809718,0.180267039396751,0.66434322402438,0.0578495605101657,0.240743267766963
FBL-QP,2,15,1,1,1,1,1,764.664611207596,0.0345044562160607,0.671087809506107,18.8,1.29331002810944,0.90796875328,-1.83018653316183,0.180271828222814,0.664343108031774,0.0578495214439468,0.240743277434587
FBL-QP,3,15,1,1,1,1,1,386.18977133316,0.0334213135259649,0.66359374222302,18.58,1.2933112819682,0.907971244107277,-1.83018904809718,0.180267039396751,0.66434322402438,0.0578495605101657,0.240743267766963
